coh_m1,phi_m1,coh_m2,phi_m2,srf,origin
91.1436,24.3904,0.330671,34.5128,1.41,validation
101.336,21.257,1.47007,34.1075,1.34,validation
96.5051,27.1407,0.108956,32.925,1.47,validation
99.4456,23.8057,1.08201,33.3604,1.4,validation
99.4017,21.5966,1.28294,36.5141,1.37,validation
101.015,22.0164,0.267802,36.2324,1.39,validation
97.3672,21.5105,0.685608,35.1539,1.35,validation
97.794,21.9231,0.558899,35.0684,1.37,validation
98.4769,27.9796,0.668642,31.9931,1.46,validation
91.365,26.6043,0.883888,32.9822,1.44,validation
100.746,22.9369,0.709296,34.0474,1.39,validation
100.403,26.5351,0.957151,33.7818,1.49,validation
98.8201,22.6249,0.835785,34.0216,1.38,validation
97.9269,24.9034,0.726513,32.8968,1.42,validation
94.4194,27.169,0.801611,32.5905,1.45,validation
92.2888,24.9742,1.80027,32.4732,1.39,validation
99.383,24.5476,0.522214,33.7505,1.43,validation
101.798,24.5329,1.75081,36.2093,1.49,validation
95.6527,26.3087,1.17775,35.6637,1.51,validation
101.552,24.1229,0.718595,37.2075,1.49,validation
93.2207,25.7507,0.407931,35.498,1.48,validation
95.5119,27.4518,0.44683,33.3455,1.48,validation
97.0867,21.5658,1.56018,37.8917,1.35,validation
96.2398,26.4267,0.791252,33.4659,1.46,validation
95.5625,23.5104,0.322965,37.687,1.44,validation
97.1307,21.3715,0.913575,31.5476,1.29,validation
100.221,22.6512,1.14813,32.1098,1.35,validation
97.2662,25.6584,0.381325,32.2866,1.42,validation
98.2324,26.5892,0.211272,33.9743,1.48,validation
93.0559,23.2829,0.494103,34.599,1.39,validation
99.6049,26.6882,0.651809,32.6939,1.46,validation
93.3035,22.4543,0.0978509,34.7752,1.37,validation
98.0735,24.4707,1.56552,36.4833,1.48,validation
96.4705,25.1395,1.81812,31.2811,1.39,validation
100.307,24.854,0.152183,37.9305,1.52,validation
101.675,25.7089,0.239306,33.9867,1.47,validation
98.2848,22.8409,0.229798,35.2493,1.4,validation
94.3048,23.2072,0.235441,32.5448,1.35,validation
96.3544,23.8881,1.34854,35.8578,1.44,validation
101.778,22.6737,0.262844,36.9169,1.43,validation
99.2533,21.1014,0.331584,36.0129,1.34,validation
98.582,23.856,0.540217,33.4864,1.4,validation
95.4675,27.0577,0.0135417,36.9413,1.55,validation
97.2705,23.8639,0.630691,34.3255,1.41,validation
101.045,27.7022,0.575652,33.4932,1.51,validation
100.252,22.2349,0.626827,35.9777,1.4,validation
96.2501,22.2214,0.460547,37.3981,1.38,validation
97.0535,25.0894,0.12656,35.676,1.48,validation
93.755,25.9639,1.09797,32.3785,1.4,validation
96.8971,27.0637,1.37559,35.5264,1.53,validation
91.3418,25.4974,0.192444,36.1318,1.48,validation
96.9237,23.7056,0.664017,37.6439,1.45,validation
94.5407,22.419,0.910244,36.2728,1.38,validation
91.7626,27.3967,0.00644433,37.2638,1.56,validation
95.2875,27.8164,0.681253,35.7631,1.55,validation
99.8973,25.784,0.0476513,37.7262,1.55,validation
98.6557,24.2536,0.0571232,34.4238,1.43,validation
92.8434,21.8356,1.19093,33.4219,1.33,validation
99.9465,26.1189,1.71832,37.478,1.56,validation
101.024,24.8323,0.98984,36.7084,1.5,validation
97.5898,23.2787,1.02026,32.2721,1.36,validation
100.602,21.3793,0.258695,37.1172,1.36,validation
100.055,24.5242,0.678474,35.3917,1.46,validation
98.0432,24.1916,0.354836,31.4451,1.37,validation
100.028,25.2393,0.0512254,34.1879,1.46,validation
94.96,25.6226,0.0236888,33.2455,1.43,validation
99.0126,21.7779,0.249313,37.1497,1.37,validation
99.7247,27.8547,0.757714,34.3962,1.53,validation
95.0618,25.5136,0.36651,32.634,1.42,validation
99.2115,23.0691,0.325391,36.9245,1.43,validation
95.6127,23.4111,1.96854,31.0048,1.34,validation
99.9807,26.5861,0.039636,35.0975,1.51,validation
96.5679,24.2402,1.39507,36.9958,1.47,validation
92.751,23.3507,0.532344,35.8464,1.41,validation
101.248,24.1364,0.608135,33.0088,1.41,validation
96.8067,27.1593,0.515701,34.6586,1.51,validation
94.1873,25.1072,0.117771,34.1251,1.42,validation
97.1138,20.9996,0.566149,31.5343,1.28,validation
93.9571,27.9296,0.466069,35.5616,1.52,validation
93.4925,22.7831,0.0158115,31.4492,1.31,validation
98.9191,21.9028,1.03077,35.7518,1.38,validation
94.7894,26.9043,0.556181,34.4996,1.49,validation
101.509,27.6813,1.79664,35.546,1.56,validation
